match_factor,cv,target,required_stake
0.0,0.5,0.95,1.0985565185546875
0.05,0.5,0.95,1.003570556640625
0.1,0.5,0.95,0.9085845947265625
0.15,0.5,0.95,0.8135986328125
0.2,0.5,0.95,0.718536376953125
0.3,0.5,0.95,0.528564453125
