coord,peak_cv,peak_welfare,honesty_at_peak
0.88,1.75,0.2866285,0.7059124999999998
0.92,2.0,0.318041325,0.7385674999999999
0.96,2.0,0.35019834999999994,0.7385674999999999
1.0,2.25,0.38248462499999986,0.7666325
