mechanism,x_key,x,seed_mean,ci95,d,s,dispute,dispute_ci95,honesty,honesty_ci95,participation,participation_ci95,shirk,shirk_ci95,undetected_shortfall,undetected_shortfall_ci95,welfare,welfare_ci95,wrongful_slash,wrongful_slash_ci95
power,cv,0.5,0.47967537500000007,0.005632264680493457,0.33333333333333337,3.0,0.0702225,0.00423061077304806,0.7881675,0.01251614373442991,1.0,0.0,0.2118325,0.01251614373442991,0.14160999999999999,0.008379297601189073,0.47967537500000007,0.005632264680493457,0.0,0.0
power,cv,0.75,0.531531,0.00278927342011239,0.4285714285714286,2.7142857142857144,0.029610000000000004,0.002641810877700247,0.9311800000000001,0.006198385378027528,1.0,0.0,0.06881999999999999,0.006198385378027528,0.039209999999999995,0.0036038248052127435,0.531531,0.00278927342011239,0.0,0.0
power,cv,1.0,0.5404982499999997,0.0018082939796167517,0.5,2.5,0.010565,0.002020113111244571,0.9788849999999999,0.0040184310658149995,1.0,0.0,0.021115,0.0040184310658149995,0.010549999999999999,0.0020376060225250374,0.5404982499999997,0.0018082939796167517,0.0,0.0
power,cv,1.25,0.5340574999999997,0.0011106307458540576,0.5555555555555556,2.333333333333333,0.0042474999999999995,0.001365044147693222,0.9923499999999998,0.002468068324120151,1.0,0.0,0.0076500000000000005,0.0024680683241201516,0.0034025,0.0011224155129618326,0.5340574999999997,0.0011106307458540576,0.0,0.0
power,cv,1.5,0.5234475000000002,0.0007238774795879207,0.6,2.2,0.002105,0.0009900743894100364,0.99655,0.0016086166213064676,1.0,0.0,0.00345,0.0016086166213064676,0.001345,0.0006279612961759265,0.5234475000000002,0.0007238774795879207,0.0,0.0
power,cv,1.75,0.5118700000000003,0.00045481541710496305,0.6363636363636364,2.090909090909091,0.0008799999999999999,0.0006347489518850675,0.9986,0.0010107009268999231,1.0,0.0,0.0014000000000000002,0.001010700926899923,0.0005200000000000001,0.00038246007727221764,0.5118700000000003,0.00045481541710496305,0.0,0.0
power,cv,2.0,0.49971762499999994,0.00031753817340668557,0.6666666666666667,1.9999999999999998,0.000425,0.0004763726259850359,0.9993725000000001,0.0007056403853481907,1.0,0.0,0.0006275,0.0007056403853481911,0.00020250000000000002,0.00023200390518308525,0.49971762499999994,0.00031753817340668557,0.0,0.0
power,cv,2.25,0.4873064999999998,0.00026799485809178537,0.6923076923076923,1.9230769230769231,0.00029499999999999996,0.00040773182362920855,0.99957,0.0005955441290928563,1.0,0.0,0.00043,0.0005955441290928569,0.000135,0.00018822608477546087,0.4873064999999998,0.00026799485809178537,0.0,0.0
power,cv,2.5,0.4749122499999998,0.00017198999999999955,0.7142857142857143,1.8571428571428572,0.00014000000000000001,0.00027439999999999995,0.999805,0.0003821999999999991,1.0,0.0,0.000195,0.0003822,5.4999999999999995e-05,0.00010779999999999999,0.4749122499999998,0.00017198999999999955,0.0,0.0
power,cv,2.75,0.4624122500000002,0.00017198999999999963,0.7333333333333334,1.7999999999999998,0.0001425,0.0002793,0.999805,0.0003821999999999991,1.0,0.0,0.000195,0.0003822,5.25e-05,0.00010290000000000003,0.4624122500000002,0.00017198999999999963,0.0,0.0
power,cv,3.0,0.45000000000000023,2.1869996013146937e-17,0.75,1.75,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.45000000000000023,2.1869996013146937e-17,0.0,0.0
