mechanism,x_key,x,seed_mean,ci95,honesty,honesty_ci95,seeds
Mstar,period,250.0,0.8272800000000002,0.008069256064842663,0.8272800000000002,0.008069256064842663,50
Mstar,period,300.0,0.8295200000000003,0.0075958462754323886,0.8295200000000003,0.0075958462754323886,50
Mstar,period,350.0,0.8393600000000002,0.006555052963935535,0.8393600000000002,0.006555052963935535,50
Mstar,period,400.0,0.8500800000000001,0.00653926557344172,0.8500800000000001,0.00653926557344172,50
Mstar,period,450.0,0.8536000000000005,0.006335676759431473,0.8536000000000005,0.006335676759431473,50
Mstar,period,500.0,0.8608,0.006430009642294485,0.8608,0.006430009642294485,50
Mstar,period,550.0,0.8656000000000001,0.0062358960863696305,0.8656000000000001,0.0062358960863696305,50
Mstar,period,600.0,0.8684000000000003,0.006539303938493765,0.8684000000000003,0.006539303938493765,50
Mstar,period,650.0,0.8706400000000003,0.006298384503981959,0.8706400000000003,0.006298384503981959,50
Mstar,period,700.0,0.8736800000000003,0.006015098655882549,0.8736800000000003,0.006015098655882549,50
Mstar,period,750.0,0.87472,0.005615390052347213,0.87472,0.005615390052347213,50
Mstar,period,800.0,0.8793600000000004,0.005104841560714694,0.8793600000000004,0.005104841560714694,50
Mstar,period,850.0,0.88176,0.006048663667290492,0.88176,0.006048663667290492,50
Mstar,period,900.0,0.8832800000000003,0.006870230086394493,0.8832800000000003,0.006870230086394493,50
Mstar,period,950.0,0.8860800000000003,0.006312827119444985,0.8860800000000003,0.006312827119444985,50
Mstar,period,1000.0,0.8908000000000006,0.005005034265616975,0.8908000000000006,0.005005034265616975,50
Mstar,period,1050.0,0.8935200000000006,0.004917246448979351,0.8935200000000006,0.004917246448979351,50
Mstar,period,1100.0,0.8967200000000004,0.005232641917807873,0.8967200000000004,0.005232641917807873,50
Mstar,period,1150.0,0.8994400000000005,0.005745982053574484,0.8994400000000005,0.005745982053574484,50
Mstar,period,1200.0,0.9043200000000006,0.005692597635526339,0.9043200000000006,0.005692597635526339,50
Mstar,period,1250.0,0.90432,0.005271572425756859,0.90432,0.005271572425756859,50
Mstar,period,1300.0,0.9048800000000002,0.004980109942561514,0.9048800000000002,0.004980109942561514,50
Mstar,period,1350.0,0.9046400000000002,0.004614400000000004,0.9046400000000002,0.004614400000000004,50
Mstar,period,1400.0,0.9049600000000002,0.00434675448582043,0.9049600000000002,0.00434675448582043,50
Mstar,period,1450.0,0.9055200000000002,0.0048608000000000045,0.9055200000000002,0.0048608000000000045,50
Mstar,period,1500.0,0.9067200000000004,0.0054291241871963145,0.9067200000000004,0.0054291241871963145,50
Mstar,period,1550.0,0.9091200000000004,0.005286779647384603,0.9091200000000004,0.005286779647384603,50
Mstar,period,1600.0,0.9116800000000004,0.0050279892442208,0.9116800000000004,0.0050279892442208,50
Mstar,period,1650.0,0.9140800000000004,0.005469637852728465,0.9140800000000004,0.005469637852728465,50
Mstar,period,1700.0,0.9154400000000004,0.005253313407745633,0.9154400000000004,0.005253313407745633,50
Mstar,period,1750.0,0.9169600000000002,0.005557547890931759,0.9169600000000002,0.005557547890931759,50
Mstar,period,1800.0,0.9169600000000002,0.005144983047591123,0.9169600000000002,0.005144983047591123,50
Mstar,period,1850.0,0.9183200000000002,0.004872141607137465,0.9183200000000002,0.004872141607137465,50
Mstar,period,1900.0,0.9202400000000002,0.005673040468743374,0.9202400000000002,0.005673040468743374,50
Mstar,period,1950.0,0.9227200000000003,0.0055615189867517355,0.9227200000000003,0.0055615189867517355,50
Mstar,period,2000.0,0.9245600000000002,0.004866577211963254,0.9245600000000002,0.004866577211963254,50
Mstar,period,2050.0,0.9266400000000004,0.004733825446718545,0.9266400000000004,0.004733825446718545,50
Mstar,period,2100.0,0.9284800000000003,0.004696741065888136,0.9284800000000003,0.004696741065888136,50
Mstar,period,2150.0,0.9298400000000003,0.004558881547046385,0.9298400000000003,0.004558881547046385,50
Mstar,period,2200.0,0.9287200000000001,0.005155358905061805,0.9287200000000001,0.005155358905061805,50
Mstar,period,2250.0,0.9303200000000004,0.005272762069352271,0.9303200000000004,0.005272762069352271,50
Mstar,period,2300.0,0.9335200000000005,0.004876259287609719,0.9335200000000005,0.004876259287609719,50
Mstar,period,2350.0,0.9345600000000003,0.004110628876461609,0.9345600000000003,0.004110628876461609,50
Mstar,period,2400.0,0.9350400000000003,0.004054090595929009,0.9350400000000003,0.004054090595929009,50
Mstar,period,2450.0,0.9371200000000006,0.0034777037021575057,0.9371200000000006,0.0034777037021575057,50
Mstar,period,2500.0,0.9397600000000003,0.003843477092425559,0.9397600000000003,0.003843477092425559,50
Mstar,period,2550.0,0.9396800000000003,0.004231406839338429,0.9396800000000003,0.004231406839338429,50
Mstar,period,2600.0,0.9427200000000002,0.0040160395217178875,0.9427200000000002,0.0040160395217178875,50
Mstar,period,2650.0,0.9439200000000002,0.00386352924668625,0.9439200000000002,0.00386352924668625,50
Mstar,period,2700.0,0.9444000000000008,0.003983485910606442,0.9444000000000008,0.003983485910606442,50
Mstar,period,2750.0,0.9437600000000002,0.004668721041141785,0.9437600000000002,0.004668721041141785,50
Mstar,period,2800.0,0.9426400000000003,0.0042889419860846845,0.9426400000000003,0.0042889419860846845,50
Mstar,period,2850.0,0.9421600000000002,0.004640694017062539,0.9421600000000002,0.004640694017062539,50
Mstar,period,2900.0,0.9424800000000003,0.004337105099026311,0.9424800000000003,0.004337105099026311,50
Mstar,period,2950.0,0.9452800000000002,0.004668882247390701,0.9452800000000002,0.004668882247390701,50
Mstar,period,3000.0,0.9477600000000004,0.004287771934233448,0.9477600000000004,0.004287771934233448,50
Mstar,period,3050.0,0.9504000000000006,0.0040753228092999,0.9504000000000006,0.0040753228092999,50
Mstar,period,3100.0,0.9502400000000003,0.0036681325166902055,0.9502400000000003,0.0036681325166902055,50
