mechanism,x_key,x,seed_mean,ci95,dispute,dispute_ci95,honesty,honesty_ci95,honesty_ci_source,honesty_ci_source_ci95,shirk,shirk_ci95,undetected_shortfall,undetected_shortfall_ci95,welfare,welfare_ci95
Mstar,cv,0.0,0.14999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.14999999999999994,0.0
Mstar,cv,0.25,0.3613378750000001,0.006987916540666177,0.110985,0.0036379981919798265,0.4974175,0.015528703423702609,0.4974175,0.015528703423702609,0.5025825,0.01552870342370261,0.39159750000000004,0.012049276723249173,0.3613378750000001,0.006987916540666177
Mstar,cv,0.5,0.5259061250000001,0.004471178550350665,0.04255749999999999,0.0039036129570287604,0.8909025000000003,0.009935952334112597,0.8909025000000003,0.009935952334112597,0.10909750000000001,0.009935952334112597,0.06654,0.006097690047348696,0.5259061250000001,0.004471178550350665
Mstar,cv,0.75,0.5571832499999999,0.0014099348291805422,0.006175000000000001,0.0016170299966608566,0.9881850000000001,0.0031331885092900926,0.9881850000000001,0.0031331885092900926,0.011815000000000003,0.0031331885092900935,0.005640000000000001,0.0015336947026080784,0.5571832499999999,0.0014099348291805422
Mstar,cv,1.0,0.5493688749999999,0.0004556665357947423,0.0008674999999999999,0.0006304541645800776,0.9985974999999999,0.0010125923017660966,0.9985974999999999,0.0010125923017660966,0.0014025,0.0010125923017660955,0.0005350000000000001,0.00038895786741787683,0.5493688749999999,0.0004556665357947423
Mstar,cv,1.25,0.5374144999999997,0.00016757999999999893,0.000135,0.00026460000000000003,0.99981,0.00037240000000000027,0.99981,0.00037240000000000027,0.00018999999999999998,0.0003724,5.4999999999999995e-05,0.00010779999999999999,0.5374144999999997,0.00016757999999999893
Mstar,cv,1.5,0.5250000000000002,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5250000000000002,0.0
Mstar,cv,1.75,0.5125000000000002,2.1869996013146937e-17,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5125000000000002,2.1869996013146937e-17
Mstar,cv,2.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Mstar,cv,2.25,0.48749999999999977,2.1869996013146937e-17,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.48749999999999977,2.1869996013146937e-17
Mstar,cv,2.5,0.4749999999999998,1.0934998006573469e-17,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4749999999999998,1.0934998006573469e-17
Mstar,cv,2.75,0.4625000000000002,1.0934998006573469e-17,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4625000000000002,1.0934998006573469e-17
Mstar,cv,3.0,0.45000000000000023,2.1869996013146937e-17,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.45000000000000023,2.1869996013146937e-17
no_reputation,cv,0.0,0.14999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.14999999999999994,0.0
no_reputation,cv,0.25,0.20921762500000005,0.0047262858789220265,0.18585000000000002,0.0027138278046949385,0.1593725,0.010502857508715609,0.1593725,0.010502857508715609,0.8406275,0.010502857508715607,0.6547775000000001,0.008133415267713233,0.20921762500000005,0.0047262858789220265
no_reputation,cv,0.5,0.256697,0.006178588481297179,0.27820999999999996,0.00556408685043574,0.29266000000000003,0.013730196625104843,0.29266000000000003,0.013730196625104843,0.7073400000000001,0.01373019662510484,0.42913,0.00836733590765395,0.256697,0.006178588481297179
no_reputation,cv,0.75,0.301897125,0.006886912173103646,0.30560750000000003,0.008263880936119761,0.42088249999999994,0.015304249273563655,0.42088249999999994,0.015304249273563655,0.5791175000000001,0.015304249273563655,0.27351,0.007204351455708816,0.301897125,0.006886912173103646
