mechanism,x_key,x,seed_mean,ci95,dispute,dispute_ci95,honesty,honesty_ci95,honesty_ci_source,honesty_ci_source_ci95,shirk,shirk_ci95,undetected_shortfall,undetected_shortfall_ci95,welfare,welfare_ci95
no_stake,sybil,0.1,0.4640578749999999,0.005091605590992392,0.12047999999999998,0.007148532040703861,0.8090175000000001,0.011314679091094208,0.8090175000000001,0.011314679091094208,0.19098250000000003,0.011314679091094208,0.0705025,0.004228286126263874,0.4640578749999999,0.005091605590992392
no_stake,sybil,0.2,0.4494778749999998,0.005033152894562529,0.140985,0.007056391205485173,0.7766175,0.011184784210138956,0.7766175,0.011184784210138956,0.2233825,0.011184784210138958,0.08239749999999998,0.004196537538858733,0.4494778749999998,0.005033152894562529
no_stake,sybil,0.30000000000000004,0.43545362499999984,0.005223041373274203,0.16073749999999998,0.007274329897806476,0.7454525000000001,0.01160675860727601,0.7454525000000001,0.01160675860727601,0.2545475,0.01160675860727601,0.09380999999999999,0.004403770895883929,0.43545362499999984,0.005223041373274203
no_stake,sybil,0.4,0.42026499999999983,0.0054487620440960526,0.18200750000000002,0.007624782128968827,0.7117,0.012108360097991233,0.7117,0.012108360097991233,0.2883,0.012108360097991232,0.10629249999999998,0.004579142057297316,0.42026499999999983,0.0054487620440960526
no_stake,sybil,0.5,0.4081554999999999,0.005529211927344701,0.1991825,0.007737841479685886,0.6847900000000001,0.012287137616321556,0.6847900000000001,0.012287137616321556,0.31521,0.012287137616321558,0.1160275,0.004654210071732708,0.4081554999999999,0.005529211927344701
no_stake,sybil,0.6000000000000001,0.39556112499999996,0.005947796518102503,0.2169,0.008350367020301406,0.6568025000000002,0.013217325595783341,0.6568025000000002,0.013217325595783341,0.3431975,0.013217325595783345,0.1262975,0.004980917832938508,0.39556112499999996,0.005947796518102503
no_stake,sybil,0.7000000000000001,0.37850499999999987,0.005940310659576036,0.2407125,0.008381942768429781,0.6189000000000001,0.01320069035461342,0.6189000000000001,0.01320069035461342,0.3811,0.01320069035461342,0.1403875,0.004951953501631778,0.37850499999999987,0.005940310659576036
no_stake,sybil,0.8,0.361761625,0.006240868002300164,0.263945,0.008829700020734658,0.5816925,0.013868595560667041,0.5816925,0.013868595560667041,0.4183075,0.013868595560667041,0.15436249999999999,0.0051846640294704585,0.361761625,0.006240868002300164
no_reputation,sybil,0.0,0.3325397499999999,0.006993505059853094,0.30524500000000004,0.009855192260146143,0.5167550000000001,0.015541122355229111,0.5167550000000001,0.015541122355229111,0.483245,0.015541122355229111,0.17800000000000002,0.005824118637097796,0.3325397499999999,0.006993505059853094
no_reputation,sybil,0.1,0.3325397499999999,0.006993505059853094,0.30524500000000004,0.009855192260146143,0.5167550000000001,0.015541122355229111,0.5167550000000001,0.015541122355229111,0.483245,0.015541122355229111,0.17800000000000002,0.005824118637097796,0.3325397499999999,0.006993505059853094
no_reputation,sybil,0.2,0.3325397499999999,0.006993505059853094,0.30524500000000004,0.009855192260146143,0.5167550000000001,0.015541122355229111,0.5167550000000001,0.015541122355229111,0.483245,0.015541122355229111,0.17800000000000002,0.005824118637097796,0.3325397499999999,0.006993505059853094
no_reputation,sybil,0.30000000000000004,0.3325397499999999,0.006993505059853094,0.30524500000000004,0.009855192260146143,0.5167550000000001,0.015541122355229111,0.5167550000000001,0.015541122355229111,0.483245,0.015541122355229111,0.17800000000000002,0.005824118637097796,0.3325397499999999,0.006993505059853094
no_reputation,sybil,0.4,0.3325397499999999,0.006993505059853094,0.30524500000000004,0.009855192260146143,0.5167550000000001,0.015541122355229111,0.5167550000000001,0.015541122355229111,0.483245,0.015541122355229111,0.17800000000000002,0.005824118637097796,0.3325397499999999,0.006993505059853094
no_reputation,sybil,0.5,0.3325397499999999,0.006993505059853094,0.30524500000000004,0.009855192260146143,0.5167550000000001,0.015541122355229111,0.5167550000000001,0.015541122355229111,0.483245,0.015541122355229111,0.17800000000000002,0.005824118637097796,0.3325397499999999,0.006993505059853094
no_reputation,sybil,0.6000000000000001,0.3325397499999999,0.006993505059853094,0.30524500000000004,0.009855192260146143,0.5167550000000001,0.015541122355229111,0.5167550000000001,0.015541122355229111,0.483245,0.015541122355229111,0.17800000000000002,0.005824118637097796,0.3325397499999999,0.006993505059853094
no_reputation,sybil,0.7000000000000001,0.3325397499999999,0.006993505059853094,0.30524500000000004,0.009855192260146143,0.5167550000000001,0.015541122355229111,0.5167550000000001,0.015541122355229111,0.483245,0.015541122355229111,0.17800000000000002,0.005824118637097796,0.3325397499999999,0.006993505059853094
no_reputation,sybil,0.8,0.3325397499999999,0.006993505059853094,0.30524500000000004,0.009855192260146143,0.5167550000000001,0.015541122355229111,0.5167550000000001,0.015541122355229111,0.483245,0.015541122355229111,0.17800000000000002,0.005824118637097796,0.3325397499999999,0.006993505059853094
