mechanism,x_key,x,stake,seed_mean,ci95,analytic,deterrence,dispute,dispute_ci95,honesty,honesty_ci95,honesty_ci_source,honesty_ci_source_ci95,shirk,shirk_ci95,undetected_shortfall,undetected_shortfall_ci95,welfare,welfare_ci95
stake=0.00,match_factor,0.0,0.0,0.29266000000000003,0.013730196625104843,0.3028131432851292,0.1967346701436833,0.27820999999999996,0.00556408685043574,0.29266000000000003,0.013730196625104843,0.29266000000000003,0.013730196625104843,0.7073400000000001,0.01373019662510484,0.42913,0.00836733590765395,0.256697,0.006178588481297179
stake=0.00,match_factor,0.05,0.0,0.3616525000000001,0.013775903598583822,0.3709158341429797,0.23411425747098308,0.251375,0.005610059607346414,0.3616525000000001,0.013775903598583822,0.3616525000000001,0.013775903598583822,0.6383475,0.013775903598583824,0.38697250000000005,0.008351691001452183,0.287743625,0.0061991566193627225
stake=0.00,match_factor,0.1,0.0,0.43403749999999997,0.015063198556583206,0.44333038588895257,0.27149384479828287,0.22283999999999998,0.006128625995797397,0.43403749999999997,0.015063198556583206,0.43403749999999997,0.015063198556583206,0.5659625000000001,0.01506319855658321,0.3431225,0.009084837794224712,0.32031687500000006,0.006778439350462446
stake=0.00,match_factor,0.15,0.0,0.5029425000000001,0.01587665358721364,0.5176941310583566,0.30887343212558266,0.19572,0.00637302715328953,0.5029425000000001,0.01587665358721364,0.5029425000000001,0.01587665358721364,0.49705750000000004,0.015876653587213643,0.3013375,0.009630368788238317,0.351324125,0.0071444941142461416
stake=0.00,match_factor,0.2,0.0,0.5745325,0.01519386914213038,0.5914455699579783,0.34625301945288245,0.1674625,0.0060356448533238375,0.5745325,0.01519386914213038,0.5745325,0.01519386914213038,0.42546749999999994,0.015193869142130384,0.258005,0.009280216262479223,0.3835396250000001,0.006837241113958675
stake=0.00,match_factor,0.3,0.0,0.7216225000000001,0.012902984661764006,0.727430757047629,0.42101219410748203,0.10956499999999998,0.005151873415495855,0.7216225000000001,0.012902984661764006,0.7216225000000001,0.012902984661764006,0.27837750000000006,0.012902984661764002,0.16881249999999998,0.007845001647932306,0.449730125,0.005806343097793803
stake=0.30,match_factor,0.0,0.3,0.5142975000000001,0.015483828795083424,0.5294460151006064,0.31477547222989327,0.1911225,0.006181496271244863,0.5142975000000001,0.015483828795083424,0.5142975000000001,0.015483828795083424,0.48570250000000004,0.015483828795083424,0.29458,0.009429996650363063,0.35643387499999996,0.006967722957787542
stake=0.30,match_factor,0.05,0.3,0.5855750000000001,0.014892210060798546,0.6028671024982654,0.35215505955719306,0.16321750000000002,0.005933375845361831,0.5855750000000001,0.014892210060798546,0.5855750000000001,0.014892210060798546,0.41442499999999993,0.01489221006079855,0.2512075,0.009071297195505828,0.38850875,0.00670149452735935
stake=0.30,match_factor,0.1,0.3,0.6628324999999999,0.014057936729549617,0.672805479427458,0.38953464688449285,0.13268749999999999,0.005579654855867526,0.6628324999999999,0.014057936729549617,0.6628324999999999,0.014057936729549617,0.33716750000000006,0.014057936729549613,0.20448,0.008585100015513134,0.4232746250000001,0.00632607152829733
stake=0.30,match_factor,0.15,0.3,0.7303275,0.013094836719910297,0.7371459323231767,0.42691423421179264,0.106065,0.005232406259556927,0.7303275,0.013094836719910297,0.7303275,0.013094836719910297,0.26967250000000004,0.0130948367199103,0.1636075,0.007958499437587516,0.45364737499999996,0.0058926765239596356
