mechanism,x_key,x,seed_mean,ci95,analytic,dispute,dispute_ci95,honesty,honesty_ci95,honesty_ci_source,honesty_ci_source_ci95,shirk,shirk_ci95,undetected_shortfall,undetected_shortfall_ci95,welfare,welfare_ci95
Mstar,delta,0.8,0.7820850000000001,0.012419584182941543,0.7829286116943998,0.0853325,0.004914875671855595,0.7820850000000001,0.012419584182941543,0.7820850000000001,0.012419584182941543,0.21791500000000003,0.012419584182941543,0.1325825,0.007584303330643634,0.4769382500000001,0.005588812882323695
Mstar,delta,0.84,0.7917175000000001,0.012158356153554092,0.7936096243056691,0.08146750000000001,0.0048022558265187545,0.7917175000000001,0.012158356153554092,0.7917175000000001,0.012158356153554092,0.20828250000000004,0.012158356153554092,0.126815,0.0074346557345524155,0.4812728750000001,0.005471260269099341
Mstar,delta,0.87,0.8059025,0.012268862643437467,0.8055386541084881,0.0758875,0.00487427615216616,0.8059025,0.012268862643437467,0.8059025,0.012268862643437467,0.19409750000000003,0.012268862643437467,0.11821000000000001,0.007465022830034031,0.4876561250000001,0.005520988189546858
Mstar,delta,0.9,0.8276075,0.01138429446517429,0.8237298365920201,0.06748000000000001,0.004526322592984018,0.8276075,0.01138429446517429,0.8276075,0.01138429446517429,0.17239249999999998,0.01138429446517429,0.1049125,0.006932891342810164,0.497423375,0.005122932509328429
Mstar,delta,0.92,0.8475525,0.010802542291773524,0.8421777861591346,0.05966499999999999,0.004256798494007657,0.8475525,0.010802542291773524,0.8475525,0.010802542291773524,0.15244749999999999,0.010802542291773522,0.09278250000000002,0.006622545161588007,0.506398625,0.004861144031298083
Mstar,delta,0.94,0.8742375,0.010270693883864934,0.870003536446548,0.048995000000000004,0.0040296806098967415,0.8742375,0.010270693883864934,0.8742375,0.010270693883864934,0.12576249999999997,0.010270693883864935,0.07676750000000002,0.006303944415766266,0.5184068749999999,0.0046218122477392175
Mstar,delta,0.95,0.8909025000000003,0.009935952334112597,0.8896700307808656,0.04255749999999999,0.0039036129570287604,0.8909025000000003,0.009935952334112597,0.8909025000000003,0.009935952334112597,0.10909750000000001,0.009935952334112597,0.06654,0.006097690047348696,0.5259061250000001,0.004471178550350665
Mstar,delta,0.96,0.9151500000000001,0.007446619223418492,0.9150190410422372,0.0329925,0.0029455337306992205,0.9151500000000001,0.007446619223418492,0.9151500000000001,0.007446619223418492,0.08485000000000001,0.007446619223418495,0.05185750000000001,0.004565808798553603,0.5368175000000001,0.0033509786505383178
Mstar,delta,0.97,0.9505975,0.005678326134949319,0.9471950442577206,0.019100000000000002,0.0021584059119656067,0.9505975,0.005678326134949319,0.9505975,0.005678326134949319,0.04940249999999999,0.005678326134949319,0.030302499999999996,0.0035652632903043664,0.552768875,0.0025552467607271893
Mstar,delta,0.98,0.9859075000000002,0.003358329586147244,0.9825743187138096,0.00542,0.0012820627230594398,0.9859075000000002,0.003358329586147244,0.9859075000000002,0.003358329586147244,0.0140925,0.003358329586147244,0.008672500000000001,0.0020978546073153743,0.5686583750000002,0.0015112483137662562
Mstar,delta,0.985,0.9961574999999999,0.0017591490806579762,0.9953647975215405,0.0014550000000000001,0.0006654479979531067,0.9961574999999999,0.0017591490806579762,0.9961574999999999,0.0017591490806579762,0.0038425,0.0017591490806579744,0.0023875,0.0011072194163121352,0.5732708750000002,0.0007916170862960866
Mstar,delta,0.99,0.99981,0.00037240000000000027,0.9998318422934096,8e-05,0.0001568,0.99981,0.00037240000000000027,0.99981,0.00037240000000000027,0.00018999999999999998,0.0003724,0.00010999999999999999,0.00021559999999999998,0.5749145000000001,0.00016757999999999888
stake_only,delta,0.8,0.73938,0.013358997432956463,0.7466808839026252,0.10249499999999999,0.005356441354051582,0.73938,0.013358997432956463,0.73938,0.013358997432956463,0.26062,0.013358997432956463,0.15812500000000002,0.008093074144045021,0.45772099999999993,0.00601154884483041
stake_only,delta,0.84,0.73938,0.013358997432956463,0.7466808839026252,0.10249499999999999,0.005356441354051582,0.73938,0.013358997432956463,0.73938,0.013358997432956463,0.26062,0.013358997432956463,0.15812500000000002,0.008093074144045021,0.45772099999999993,0.00601154884483041
stake_only,delta,0.87,0.73938,0.013358997432956463,0.7466808839026252,0.10249499999999999,0.005356441354051582,0.73938,0.013358997432956463,0.73938,0.013358997432956463,0.26062,0.013358997432956463,0.15812500000000002,0.008093074144045021,0.45772099999999993,0.00601154884483041
stake_only,delta,0.9,0.73938,0.013358997432956463,0.7466808839026252,0.10249499999999999,0.005356441354051582,0.73938,0.013358997432956463,0.73938,0.013358997432956463,0.26062,0.013358997432956463,0.15812500000000002,0.008093074144045021,0.45772099999999993,0.00601154884483041
stake_only,delta,0.92,0.73938,0.013358997432956463,0.7466808839026252,0.10249499999999999,0.005356441354051582,0.73938,0.013358997432956463,0.73938,0.013358997432956463,0.26062,0.013358997432956463,0.15812500000000002,0.008093074144045021,0.45772099999999993,0.00601154884483041
stake_only,delta,0.94,0.73938,0.013358997432956463,0.7466808839026252,0.10249499999999999,0.005356441354051582,0.73938,0.013358997432956463,0.73938,0.013358997432956463,0.26062,0.013358997432956463,0.15812500000000002,0.008093074144045021,0.45772099999999993,0.00601154884483041
stake_only,delta,0.95,0.73938,0.013358997432956463,0.7466808839026252,0.10249499999999999,0.005356441354051582,0.73938,0.013358997432956463,0.73938,0.013358997432956463,0.26062,0.013358997432956463,0.15812500000000002,0.008093074144045021,0.45772099999999993,0.00601154884483041
stake_only,delta,0.96,0.73938,0.013358997432956463,0.7466808839026252,0.10249499999999999,0.005356441354051582,0.73938,0.013358997432956463,0.73938,0.013358997432956463,0.26062,0.013358997432956463,0.15812500000000002,0.008093074144045021,0.45772099999999993,0.00601154884483041
stake_only,delta,0.97,0.73938,0.013358997432956463,0.7466808839026252,0.10249499999999999,0.005356441354051582,0.73938,0.013358997432956463,0.73938,0.013358997432956463,0.26062,0.013358997432956463,0.15812500000000002,0.008093074144045021,0.45772099999999993,0.00601154884483041
stake_only,delta,0.98,0.73938,0.013358997432956463,0.7466808839026252,0.10249499999999999,0.005356441354051582,0.73938,0.013358997432956463,0.73938,0.013358997432956463,0.26062,0.013358997432956463,0.15812500000000002,0.008093074144045021,0.45772099999999993,0.00601154884483041
stake_only,delta,0.985,0.73938,0.013358997432956463,0.7466808839026252,0.10249499999999999,0.005356441354051582,0.73938,0.013358997432956463,0.73938,0.013358997432956463,0.26062,0.013358997432956463,0.15812500000000002,0.008093074144045021,0.45772099999999993,0.00601154884483041
stake_only,delta,0.99,0.73938,0.013358997432956463,0.7466808839026252,0.10249499999999999,0.005356441354051582,0.73938,0.013358997432956463,0.73938,0.013358997432956463,0.26062,0.013358997432956463,0.15812500000000002,0.008093074144045021,0.45772099999999993,0.00601154884483041
