mechanism,x_key,x,seed_mean,ci95,dispute,dispute_ci95,honesty,honesty_ci95,welfare,welfare_ci95
Mstar,cv,0.0,0.17605781249999022,0.0034351545253861423,0.0,0.0,0.05790624999999999,0.007633676723080431,0.17605781249999022,0.0034351545253861423
Mstar,cv,0.25,0.5566075000000292,0.002877646549157278,0.014456249999999999,0.001184170833326003,0.93135,0.006394770109237706,0.5566075000000292,0.002877646549157278
Mstar,cv,0.5,0.5670181250000298,0.0004930882058516939,0.006775000000000001,0.00045278692560629435,0.9822624999999999,0.0010957515685592243,0.5670181250000298,0.0004930882058516939
Mstar,cv,0.75,0.5558146874999997,0.00028646063456653093,0.007593749999999999,0.0004574333967912706,0.9851437499999999,0.0006365791879255875,0.5558146874999997,0.00028646063456653093
Mstar,cv,1.0,0.5434524999999704,0.00023600837644031648,0.008943750000000002,0.00041334466550325765,0.9854499999999998,0.0005244630587562845,0.5434524999999704,0.00023600837644031648
Mstar,cv,1.25,0.5309665624999741,0.00023745573567767763,0.010125,0.00044650727877605754,0.98548125,0.000527679412617167,0.5309665624999741,0.00023745573567767763
Mstar,cv,1.5,0.5184693750000249,0.00024120650644212616,0.011137500000000002,0.0004930405662823294,0.9854875,0.0005360144587602093,0.5184693750000249,0.00024120650644212616
Mstar,cv,1.75,0.5059553125000281,0.00024056932765059586,0.011800000000000001,0.0005091748226297133,0.9854562499999999,0.0005345985058901684,0.5059553125000281,0.00024056932765059586
Mstar,cv,2.0,0.49345812499999975,0.00024095955832878526,0.012312500000000002,0.0005056864146879961,0.9854625,0.0005354656851750634,0.49345812499999975,0.00024095955832878526
Mstar,cv,2.25,0.4809609374999726,0.0002404455580921395,0.01295,0.0004906745357158856,0.9854687499999999,0.0005343234624270208,0.4809609374999726,0.0002404455580921395
Mstar,cv,2.5,0.4684609374999825,0.00024044555809211418,0.01325,0.0005143928459844673,0.9854687499999999,0.0005343234624270208,0.4684609374999825,0.00024044555809211418
Mstar,cv,2.75,0.45596093750001593,0.00024044555809219704,0.013518750000000001,0.0005152286506979207,0.9854687499999999,0.0005343234624270208,0.45596093750001593,0.00024044555809219704
Mstar,cv,3.0,0.4434665625000257,0.00023719442480012385,0.013687499999999998,0.0005087054648812021,0.98548125,0.0005270987217779981,0.4434665625000257,0.00023719442480012385
no_reputation,cv,0.0,0.15811406249999088,0.000925211962623264,0.0,0.0,0.01803125,0.002056026583607323,0.15811406249999088,0.000925211962623264
no_reputation,cv,0.25,0.17776656249999667,0.004489949119440425,0.20028749999999998,0.002845342861589794,0.08948125,0.00997766470986573,0.17776656249999667,0.004489949119440425
no_reputation,cv,0.5,0.35745593750001126,0.008689610184196634,0.18696875000000002,0.007406620454870089,0.51656875,0.01931024485376868,0.35745593750001126,0.008689610184196634
no_reputation,cv,0.75,0.5316806249999985,0.0028461927800573876,0.03595625,0.00314033148130894,0.9315124999999999,0.00632487284457166,0.5316806249999985,0.0028461927800573876
no_reputation,cv,1.0,0.5399678124999706,0.0007584410006099435,0.013993749999999998,0.0009882914866070638,0.9777062500000001,0.0016854244457999291,0.5399678124999706,0.0007584410006099435
no_reputation,cv,1.25,0.5300553124999744,0.0003660316603877193,0.011899999999999997,0.0005455510975151638,0.98345625,0.0008134036897506657,0.5300553124999744,0.0003660316603877193
no_reputation,cv,1.5,0.5181543750000247,0.00028474850087405277,0.011825,0.0005145,0.9847874999999999,0.0006327744463867042,0.5181543750000247,0.00028474850087405277
no_reputation,cv,1.75,0.5058259375000281,0.0002707683364635934,0.0122125,0.0005065456544083662,0.98516875,0.000601707414363494,0.5058259375000281,0.0002707683364635934
no_reputation,cv,2.0,0.4933709374999997,0.00026071007873930744,0.012687499999999997,0.0005220751861561703,0.98526875,0.0005793557305317704,0.4933709374999997,0.00026071007873930744
no_reputation,cv,2.25,0.48090468749997256,0.0002673153641417577,0.013068750000000002,0.0005083109899461155,0.9853437499999999,0.0005940341425372789,0.48090468749997256,0.0002673153641417577
