mechanism,x_key,x,seed_mean,ci95,honest_payoff,phi_max,dispute,dispute_ci95,honesty,honesty_ci95,participation,participation_ci95,shirk,shirk_ci95,undetected_shortfall,undetected_shortfall_ci95,welfare,welfare_ci95,wrongful_slash,wrongful_slash_ci95
Mstar,phi,0.0,0.5493699999999998,0.0004548154171049656,0.09999999999999998,0.07220216606498195,0.0008774999999999999,0.0006327595885237038,0.9986,0.0010107009268999231,1.0,0.0,0.0014000000000000002,0.001010700926899923,0.0005225000000000001,0.0003838156411138509,0.5493699999999998,0.0004548154171049656,0.0,0.0
Mstar,phi,0.024999999999999998,0.5485318749999998,0.0007115217946495823,0.06537499999999999,0.07220216606498195,0.0020924999999999997,0.0010250364236445355,0.9967374999999998,0.00158115954366574,1.0,0.0,0.0032625,0.0015811595436657402,0.00117,0.0005678091669751468,0.5485318749999998,0.0007115217946495823,0.024882500000000002,0.0005073360501460327
Mstar,phi,0.049999999999999996,0.5478489999999998,0.0009064413184937713,0.03075,0.07220216606498195,0.003055,0.001294163444785156,0.9952200000000001,0.0020143140410972702,1.0,0.0,0.00478,0.0020143140410972707,0.001725,0.0007371745609645882,0.5478489999999998,0.0009064413184937713,0.04984999999999999,0.0006663082824584483
Mstar,phi,0.075,0.03100000000000001,0.009110534694749943,-0.0038750000000000034,0.07220216606498195,0.19537000000000002,0.05742195575735467,0.0,0.0,0.0076,0.002414522526360653,0.31,0.09110534694749942,0.11463,0.03369695282464369,0.03100000000000001,0.009110534694749943,0.0,0.0
Mstar,phi,0.09999999999999999,0.038000000000000006,0.009561501931805444,-0.03849999999999998,0.07220216606498195,0.2395475,0.060279346857188096,0.0,0.0,0.0104,0.002973400841739399,0.38,0.09561501931805443,0.1404525,0.03534857988023555,0.038000000000000006,0.009561501931805444,0.0,0.0
Mstar,phi,0.12499999999999999,0.054000000000000006,0.00981780201285585,-0.07312499999999997,0.07220216606498195,0.34024249999999995,0.0618669601006062,0.0,0.0,0.018600000000000002,0.003949781817270468,0.54,0.09817802012855849,0.19975749999999995,0.03633019912766315,0.054000000000000006,0.00981780201285585,0.0,0.0
Mstar,phi,0.15,0.077,0.008289870659760355,-0.10774999999999998,0.07220216606498195,0.4853125,0.05226300192052643,0.0,0.0,0.0296,0.004439171530678656,0.77,0.08289870659760354,0.2846875,0.03067339939346485,0.077,0.008289870659760355,0.0,0.0
Mstar,phi,0.175,0.08899999999999998,0.006163534339610316,-0.14237499999999997,0.07220216606498195,0.5610424999999999,0.03887519562250433,0.0,0.0,0.046400000000000004,0.005455662301821398,0.89,0.061635343396103145,0.32895750000000007,0.022817513137918667,0.08899999999999998,0.006163534339610316,0.0,0.0
Mstar,phi,0.19999999999999998,0.099,0.00196,-0.17699999999999994,0.07220216606498195,0.62467,0.012443996423475647,0.0,0.0,0.06719999999999998,0.0059884173184404895,0.99,0.0196,0.36533,0.007363331352291324,0.099,0.00196,0.0,0.0
Mstar,phi,0.22499999999999998,0.1,2.733749501643367e-18,-0.21162499999999995,0.07220216606498195,0.6308349999999999,0.0013983022766804378,0.0,0.0,0.09480000000000001,0.007969985067727416,1.0,0.0,0.3691650000000001,0.001398302276680438,0.1,2.733749501643367e-18,0.0,0.0
Mstar,phi,0.24999999999999997,0.1,2.733749501643367e-18,-0.2462499999999999,0.07220216606498195,0.6308624999999999,0.0013988772075915709,0.0,0.0,0.12240000000000002,0.010156301116235006,1.0,0.0,0.36913750000000006,0.001398877207591571,0.1,2.733749501643367e-18,0.0,0.0
Mstar,phi,0.27499999999999997,0.1,2.733749501643367e-18,-0.28087499999999993,0.07220216606498195,0.6308199999999999,0.0013878892052540093,0.0,0.0,0.1602,0.01081093046575333,1.0,0.0,0.36918000000000006,0.001387889205254009,0.1,2.733749501643367e-18,0.0,0.0
Mstar,phi,0.3,0.1,2.733749501643367e-18,-0.31549999999999995,0.07220216606498195,0.6308199999999999,0.0013878892052540093,0.0,0.0,0.21360000000000004,0.012344432705810458,1.0,0.0,0.36918000000000006,0.001387889205254009,0.1,2.733749501643367e-18,0.0,0.0
