mechanism,x_key,x,seed_mean,ci95,d_measured,phi_measured,s_measured,k_tests,honesty,honesty_ci95,shirk,shirk_ci95,welfare,welfare_ci95
measured_audit,cv,0.0,0.14999999999999994,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.14999999999999994,0.0
measured_audit,cv,0.25,0.34605362500000014,0.006851230653859836,0.2109375,0.0025,2.366499773700424,2.0,0.46345250000000004,0.015224957008577409,0.5365475,0.015224957008577409,0.34605362500000014,0.006851230653859836
measured_audit,cv,0.5,0.563435,0.001907864683237634,0.505,0.015,2.001942337770045,4.0,0.9742999999999999,0.004239699296083641,0.025700000000000004,0.004239699296083641,0.563435,0.001907864683237634
measured_audit,cv,0.75,0.560507625,0.0008634539285111662,0.6125,0.0275,1.8094209090131388,6.0,0.9955725000000001,0.0019187865078025882,0.0044275,0.0019187865078025886,0.560507625,0.0008634539285111662
measured_audit,cv,1.0,0.5462964999999997,0.0011699024009642082,0.5603125,0.0075,1.6950316660885407,8.0,0.9917699999999999,0.0025997831132537953,0.008230000000000001,0.002599783113253795,0.5462964999999997,0.0011699024009642082
measured_audit,cv,1.5,0.5243700000000002,0.00045481541710497275,0.6546875,0.024375,1.5522449870397501,12.0,0.9986,0.0010107009268999231,0.0014000000000000002,0.001010700926899923,0.5243700000000002,0.00045481541710497275
measured_audit,cv,2.0,0.4987355,0.0006197668722555705,0.63,0.0125,1.4690467107177128,16.0,0.9971899999999999,0.0013772597161234934,0.0028100000000000004,0.0013772597161234932,0.4987355,0.0006197668722555705
measured_audit,cv,2.5,0.4747176249999998,0.0003175381734066849,0.700625,0.0275,1.4125136645633443,20.0,0.9993725000000001,0.0007056403853481907,0.0006275,0.0007056403853481911,0.4747176249999998,0.0003175381734066849
measured_audit,cv,3.0,0.44991225000000024,0.0001719899999999996,0.766875,0.045,1.3720922695345932,24.0,0.999805,0.0003821999999999991,0.000195,0.0003822,0.44991225000000024,0.0001719899999999996
