mechanism,x_key,x,seed_mean,ci95,analytic,dispute,dispute_ci95,honesty,honesty_ci95,honesty_ci_source,honesty_ci_source_ci95,shirk,shirk_ci95,undetected_shortfall,undetected_shortfall_ci95,welfare,welfare_ci95
Mstar,stake,0.0,0.5029425000000001,0.01587665358721364,0.5176941310583566,0.19572,0.00637302715328953,0.5029425000000001,0.01587665358721364,0.5029425000000001,0.01587665358721364,0.49705750000000004,0.015876653587213643,0.3013375,0.009630368788238317,0.351324125,0.0071444941142461416
Mstar,stake,0.05,0.5413025,0.015444603424343808,0.5567500639938573,0.18048000000000003,0.006174678279240241,0.5413025,0.015444603424343808,0.5413025,0.015444603424343808,0.4586975,0.015444603424343808,0.2782175,0.009403094738419738,0.36858612500000004,0.006950071540954718
Mstar,stake,0.1,0.5769650000000001,0.014935884502063812,0.595261903061068,0.16650750000000003,0.00593418429283361,0.5769650000000001,0.014935884502063812,0.5769650000000001,0.014935884502063812,0.423035,0.014935884502063812,0.25652749999999996,0.009120115351138977,0.38463425,0.006721148025928716
Mstar,stake,0.15000000000000002,0.61901,0.014384927213854048,0.6328718392201926,0.14976999999999996,0.005690633913455485,0.61901,0.014384927213854048,0.61901,0.014384927213854048,0.38098999999999994,0.014384927213854048,0.23122,0.008799414344928721,0.4035545,0.006473217246234323
Mstar,stake,0.2,0.6581575,0.013764280710882782,0.6692475954339492,0.1344875,0.005469604665740931,0.6581575,0.013764280710882782,0.6581575,0.013764280710882782,0.3418425,0.013764280710882782,0.207355,0.008401014221094396,0.4211708750000001,0.006193926319897253
Mstar,stake,0.25,0.6926925000000002,0.013240127657273896,0.7040911586641919,0.12100250000000001,0.005296464096847247,0.6926925000000002,0.013240127657273896,0.6926925000000002,0.013240127657273896,0.30730750000000007,0.013240127657273896,0.18630499999999997,0.008049516989813297,0.43671162499999994,0.0059580574457732535
Mstar,stake,0.30000000000000004,0.7303275,0.013094836719910297,0.7371459323231767,0.106065,0.005232406259556927,0.7303275,0.013094836719910297,0.7303275,0.013094836719910297,0.26967250000000004,0.0130948367199103,0.1636075,0.007958499437587516,0.45364737499999996,0.0058926765239596356
Mstar,stake,0.35000000000000003,0.7656025000000001,0.01223889046358766,0.7682020318666565,0.091885,0.0048889224865190815,0.7656025000000001,0.01223889046358766,0.7656025000000001,0.01223889046358766,0.23439750000000004,0.01223889046358766,0.14251250000000001,0.007445291531389066,0.46952112500000004,0.005507500708614447
Mstar,stake,0.4,0.7961849999999999,0.012336303478249662,0.7970995621882815,0.07976,0.004888081573903131,0.7961849999999999,0.012336303478249662,0.7961849999999999,0.012336303478249662,0.20381500000000002,0.012336303478249665,0.124055,0.007520204329885746,0.48328325000000005,0.005551336565212348
Mstar,stake,0.45,0.8276075,0.01138429446517429,0.8237298365920199,0.06748000000000001,0.004526322592984018,0.8276075,0.01138429446517429,0.8276075,0.01138429446517429,0.17239249999999998,0.01138429446517429,0.1049125,0.006932891342810164,0.497423375,0.005122932509328429
